pagos,products,total
"[{""__ref__"":""pagos/sAHOMtcRag50catfTKBf""}]","[{""__ref__"":""productosSeleccionados/0PGYRHvQj9C1FJY4eKdT""}]",13318.83
"[{""__ref__"":""pagos/VaFXZIpL5Tc479cDaIqU""}]","[{""__ref__"":""productosSeleccionados/0pHMCocKD6WmlJO7CiOL""}]",2850
"[{""__ref__"":""pagos/S5E8OAAezltuPZpnB599""}]","[{""__ref__"":""productosSeleccionados/0PnFVYjFCQUrvGnkWUs5""},{""__ref__"":""productosSeleccionados/ZyDa87bs4Wky3kIFKNIC""}]",2610
"[{""__ref__"":""pagos/0h6Pu2r1negD6sMF09ST""}]","[{""__ref__"":""productosSeleccionados/0PooVeYgtvA7E6R1IYKU""},{""__ref__"":""productosSeleccionados/BqEjOxy0iH029iaVKdWH""}]",2083
"[{""__ref__"":""pagos/6TzX3DTV7eAOvn29j9S0""}]","[{""__ref__"":""productosSeleccionados/0PTGRzAQrkxW7z9Isu2l""}]",10962
"[{""__ref__"":""pagos/mXjfUlDvV7D3KsgNhkJS""}]","[{""__ref__"":""productosSeleccionados/0pVIAjiyMjSRccZ1dkPX""},{""__ref__"":""productosSeleccionados/5p0LXsX0jdOV7154pNMB""},{""__ref__"":""productosSeleccionados/JBgn9sYoB6APDGbWqJsY""}]",6372
"[{""__ref__"":""pagos/inydFMPp70GOF0CC31rF""}]","[{""__ref__"":""productosSeleccionados/0PW6wzw3K39b8vqCHhbA""}]",16720
"[{""__ref__"":""pagos/Wl8osOWgXxwn4M6lGU3o""},{""__ref__"":""pagos/Zb3g9glVDXo5bBWkraow""}]","[{""__ref__"":""productosSeleccionados/0QAh1hp1zK7JBLllKWlW""},{""__ref__"":""productosSeleccionados/wpc7bJQzKGRjlNCUKLZB""},{""__ref__"":""productosSeleccionados/HDCpKkJcWhREKnrGxe7Y""},{""__ref__"":""productosSeleccionados/fkgCsCiqbxmzHfDbvmFe""},{""__ref__"":""productosSeleccionados/gVkzzOUnxbN9guxRGdhy""}]",16600
"[{""__ref__"":""pagos/U7BBkcUO7YytX2CB2RFD""}]","[{""__ref__"":""productosSeleccionados/0qmrWJBTWdlfmdqvbufW""}]",8030
"[{""__ref__"":""pagos/Povl1rPRsLkvQQ8d8IUi""}]","[{""__ref__"":""productosSeleccionados/0QpN8moIHZkklHiIArTm""},{""__ref__"":""productosSeleccionados/ntszVoNQVmnaRmpMNzdi""},{""__ref__"":""productosSeleccionados/umAYK6uun8rwm2XPlfSj""},{""__ref__"":""productosSeleccionados/PMTQJ6sBpBwQSclgQ9J6""},{""__ref__"":""productosSeleccionados/CU8rBV5ZMCA0lrZO5wi0""}]",16093
"[{""__ref__"":""pagos/ay9WrVL6ertcl7tHnlF5""}]","[{""__ref__"":""productosSeleccionados/0R5jmRKvfnDJo6hh7I2B""}]",640
"[{""__ref__"":""pagos/7a82uVqIqlSnV7sLwXp6""}]","[{""__ref__"":""productosSeleccionados/0rFFUZRnpnsnTXuY2ZMI""},{""__ref__"":""productosSeleccionados/Lr5XUIKmjvjTegRTBOqb""}]",27439.2
"[{""__ref__"":""pagos/n54bfNT1W5pZlKPKQBii""}]","[{""__ref__"":""productosSeleccionados/0Rm32WBfmZAOtObm2Qfk""}]",1030
"[{""__ref__"":""pagos/MG6cml4OBFxFpCgtABr0""}]","[{""__ref__"":""productosSeleccionados/0Rul6hTW0LTInPTJW0KO""}]",5919.48
"[{""__ref__"":""pagos/sYfDo89k43r63cv48sRz""}]","[{""__ref__"":""productosSeleccionados/0SJMLyLmcTylZ2hRihBL""},{""__ref__"":""productosSeleccionados/5OdjMbwy62d3YoymSomU""}]",1895
"[{""__ref__"":""pagos/XcPHP3tS7Mw5L1TNk60h""}]","[{""__ref__"":""productosSeleccionados/0sm6pfcc1Uf40gmySggq""},{""__ref__"":""productosSeleccionados/SffiZ2y4eP4WKrmv8iQv""}]",770
"[{""__ref__"":""pagos/nW6NOK6iZD6k0F9gzqBh""}]","[{""__ref__"":""productosSeleccionados/0sYRxNtpYCVdetxR5Vbl""},{""__ref__"":""productosSeleccionados/ANsj8qJEFa8hciC8MQ2K""}]",6383
"[{""__ref__"":""pagos/8fS8CMlUc0VQD0BnQcj7""}]","[{""__ref__"":""productosSeleccionados/0T1E8a1SAPkPzxyBE0v6""}]",3775.2
"[{""__ref__"":""pagos/JkVCZh7ibMdiuqStG2Nb""}]","[{""__ref__"":""productosSeleccionados/0TATJWHMnyeEMUhig7L2""}]",3160
"[{""__ref__"":""pagos/TXr6rOTxkPP2FUL2z8dq""}]","[{""__ref__"":""productosSeleccionados/0tb02rtXixWnwoSHAX1D""}]",550
"[{""__ref__"":""pagos/0kOqPI2Oh6wfKoUENLGY""}]","[{""__ref__"":""productosSeleccionados/0tJu7EJA9ZFTw4ifiSwN""}]",1278
"[{""__ref__"":""pagos/j3rv1gmL3m4c3I0jQ94v""},{""__ref__"":""pagos/XlaQRGAq6mMxiPW1iLNl""}]","[{""__ref__"":""productosSeleccionados/0To5E75eEj2CSWmI3S46""},{""__ref__"":""productosSeleccionados/GqehtvzQU0Y6X9TtoK6I""}]",21413
"[{""__ref__"":""pagos/jaJPt82QnpuxW0Cy2HDK""}]","[{""__ref__"":""productosSeleccionados/0TSAQFlsK6BEWHX7uFrc""}]",6956.4
"[{""__ref__"":""pagos/kVRTEzXmgqWJPR0nC0Ma""}]","[{""__ref__"":""productosSeleccionados/0TvRwMJofxVjik4AivZ0""}]",8640
"[{""__ref__"":""pagos/XTkNWdVPNNuTErPDulJX""}]","[{""__ref__"":""productosSeleccionados/0uBqQ2iDZYLeCamiQTG8""}]",2500
"[{""__ref__"":""pagos/YQIi1Pu74SWEUbGEXm4b""}]","[{""__ref__"":""productosSeleccionados/0uFrmIuAZu87zjiBXl2D""}]",50
"[{""__ref__"":""pagos/VqL0rSOKCYP99yJe0XbX""}]","[{""__ref__"":""productosSeleccionados/0uPKcLWDqLVUmeWRmALK""},{""__ref__"":""productosSeleccionados/4u2LnJfz8knOr6A16MGT""}]",4510
"[{""__ref__"":""pagos/968DtPYQztfVRyexy3y6""}]","[{""__ref__"":""productosSeleccionados/0USt1h8V4Cqhl20bPTTs""},{""__ref__"":""productosSeleccionados/i0DAIyd4Oe9ZpDcwk2SZ""}]",887.3
"[{""__ref__"":""pagos/xSesHDZsyuy7J94LMWm2""}]","[{""__ref__"":""productosSeleccionados/0UTwFwoCvVR8sgHogDEa""},{""__ref__"":""productosSeleccionados/4FBeEpT3InNNPjxtcIpv""}]",4490
"[{""__ref__"":""pagos/1dxQLexSfPHnB9lZKeSL""}]","[{""__ref__"":""productosSeleccionados/0UYpvhYNi2USeX4t1hzD""}]",2931
"[{""__ref__"":""pagos/a0PSEFsoXmUFh80hOtbs""}]","[{""__ref__"":""productosSeleccionados/0V06FK3eyOtRP79IXzw2""},{""__ref__"":""productosSeleccionados/KUn3OEYZRcMU3t9Bw6Qf""}]",5510
"[{""__ref__"":""pagos/IoMSyKT1zEWB9EKfFwS9""}]","[{""__ref__"":""productosSeleccionados/0v4UHhGqgUvzpuOEnBNe""}]",49
"[{""__ref__"":""pagos/nEyT8NaNIwqvKXqrnzPL""}]","[{""__ref__"":""productosSeleccionados/0v6n1kEr0bqMpTDHbxkB""}]",3510
"[{""__ref__"":""pagos/ijQRn3driRWY2hi2JBY9""}]","[{""__ref__"":""productosSeleccionados/0Vd0Lz6ZUxlSmvPI243v""}]",945
"[{""__ref__"":""pagos/ZBlNg3q5WWI9509oDz8C""}]","[{""__ref__"":""productosSeleccionados/0VgAhyHHszbGuQjA4DNP""}]",5919.48
"[{""__ref__"":""pagos/9a36r522hnQj4HM1bjox""}]","[{""__ref__"":""productosSeleccionados/0vomajvzDNiW0KUuKWgH""}]",6681.6
"[{""__ref__"":""pagos/VEBdYSsw9FRSCn3o4Rj6""}]","[{""__ref__"":""productosSeleccionados/0wHcAma8bpKrsrylWHQ8""},{""__ref__"":""productosSeleccionados/MW0Te3euW78m5g7EPzR5""}]",6600
"[{""__ref__"":""pagos/F2K2orxKlQ39UrjKAJzZ""}]","[{""__ref__"":""productosSeleccionados/0Wj8IEoOChdKfRSnsLWA""}]",3534
"[{""__ref__"":""pagos/upyLO9hFUlj3sv7tU1fq""},{""__ref__"":""pagos/ZAv5v2RogV5C851Px1DH""}]","[{""__ref__"":""productosSeleccionados/0wJODTcS9PUoHZoEMTPJ""}]",2002
"[{""__ref__"":""pagos/v2pUm1Ip0GV5p0EXw3bh""}]","[{""__ref__"":""productosSeleccionados/0wMGe566vh0JcTx8RONK""},{""__ref__"":""productosSeleccionados/uGdl7De10YsadwROcHbP""},{""__ref__"":""productosSeleccionados/dYdsx25UHWfoTnpBW72K""},{""__ref__"":""productosSeleccionados/3qUAtynh9QkQ8RSbTrgT""}]",5028.95
"[{""__ref__"":""pagos/QOVEb1QI4QOQxBbDviLz""}]","[{""__ref__"":""productosSeleccionados/0WRurY0PGeurXqvX9Ezs""}]",98
"[{""__ref__"":""pagos/O4MAW7yYDCqPcmdeQtbE""}]","[{""__ref__"":""productosSeleccionados/0WUAOqITKMe9U1u7nH1L""},{""__ref__"":""productosSeleccionados/sKq2mz04DNLFgsKVhh5Y""}]",82875
"[{""__ref__"":""pagos/QU8x9wOx6w7BWhHur50p""},{""__ref__"":""pagos/iw1UvYb5y3Ib65pcjuhc""}]","[{""__ref__"":""productosSeleccionados/0Wuri32P0LnW0ueICo8r""}]",8677
"[{""__ref__"":""pagos/fpChQbqtnBMyZ2fSH9Kx""}]","[{""__ref__"":""productosSeleccionados/0XAmWEhIDUqCMseqYiA6""}]",5481
"[{""__ref__"":""pagos/IZLNBsf9mlQFqOi6bT4o""}]","[{""__ref__"":""productosSeleccionados/0xcZZmW7VXS0pKxjoWrU""},{""__ref__"":""productosSeleccionados/Xm0o1hVFsVv5Jkl94amy""}]",2124
"[{""__ref__"":""pagos/uBfpQsHQzoW1EzSXaMLi""}]","[{""__ref__"":""productosSeleccionados/0xebGgdvbPDK6iHHcMGX""}]",2302.02
"[{""__ref__"":""pagos/SBZws4YLa8HkM1UGPcAB""}]","[{""__ref__"":""productosSeleccionados/0xfcXuiXVzANs6WHh6Y8""}]",893
"[{""__ref__"":""pagos/FEjhBgsozzHA16VZj0uk""}]","[{""__ref__"":""productosSeleccionados/0xnqvM4AxmGOvtxdEjWr""},{""__ref__"":""productosSeleccionados/aY1lfJ1ynu1ga4weMuXL""}]",1422.4
"[{""__ref__"":""pagos/YHdTqmUaBh4IQGgszYkJ""}]","[{""__ref__"":""productosSeleccionados/0xNwu0R1AxUxGWNrfX0w""},{""__ref__"":""productosSeleccionados/7trAUUa4nrWseHx2T9tI""}]",1216
"[{""__ref__"":""pagos/gYLW3NTrLgeYevUzkl8w""},{""__ref__"":""pagos/6kHVWt9OIxxiIS2q7Qd7""}]","[{""__ref__"":""productosSeleccionados/0XtocpJbWGjrKQ3MuKX1""},{""__ref__"":""productosSeleccionados/7K4YPOwxm5fWV07j4QbR""}]",15335
"[{""__ref__"":""pagos/rx8kAE1IcTNSsZ0Ew8yP""}]","[{""__ref__"":""productosSeleccionados/0XxzPBszVi1hiaXRK9DF""}]",2800
"[{""__ref__"":""pagos/q8GEekH3aVuVmiS5N7qO""}]","[{""__ref__"":""productosSeleccionados/0XYLdaqHZpmeNFb1yEzi""}]",2565
"[{""__ref__"":""pagos/b0t475YZNxTDd1kfVDZy""},{""__ref__"":""pagos/8RWwRQMVSWfLYCEDmveA""}]","[{""__ref__"":""productosSeleccionados/0XZRknmtrOWebDkgxDHA""},{""__ref__"":""productosSeleccionados/vL9YqnDZ42bcW9dmvrQC""},{""__ref__"":""productosSeleccionados/IMHFH02YKQkfu3o0IpV9""}]",36185
"[{""__ref__"":""pagos/QP7ntO84B6A0vzEEo8tV""}]","[{""__ref__"":""productosSeleccionados/0y3CgwOALNRFxSMVWqfb""},{""__ref__"":""productosSeleccionados/RAyFNK6LLENxB1TPcaDl""},{""__ref__"":""productosSeleccionados/1IfBapabqz4sekPBnC0U""},{""__ref__"":""productosSeleccionados/slDFhlWebwIs4lAQkzBt""},{""__ref__"":""productosSeleccionados/r9cQU6toQFTSMojskv9m""},{""__ref__"":""productosSeleccionados/5trlqP7fIwD09cinuycl""}]",68735.25
"[{""__ref__"":""pagos/Fso7GI5Q4tVOhcyhCukc""}]","[{""__ref__"":""productosSeleccionados/0ypOjU6hpaMYPhlEfj65""}]",8051.4
"[{""__ref__"":""pagos/lbd3I4x1dCUE1fVFgYHt""},{""__ref__"":""pagos/FPEppcDCw3HM0MrsOHAU""}]","[{""__ref__"":""productosSeleccionados/0ytuTgK7YxT4Sm7ddqIG""},{""__ref__"":""productosSeleccionados/izJT1qYsLvegUlwcahcj""}]",7767
"[{""__ref__"":""pagos/t1ti9OpNCjptCKxyo4vY""},{""__ref__"":""pagos/sRypKMYRWoKZYgjsWmU0""}]","[{""__ref__"":""productosSeleccionados/0yvBTzxkjSl4RmCFQrLe""},{""__ref__"":""productosSeleccionados/jhw6g2DL4pXT0eX2ut9V""}]",18180
"[{""__ref__"":""pagos/WX4Hh8ezWVI5AvoayQPe""}]","[{""__ref__"":""productosSeleccionados/0YY7Eb0DTpL4Ko40QPgs""},{""__ref__"":""productosSeleccionados/kxsUU37J8rULuJNU5XTT""}]",29326.5
"[{""__ref__"":""pagos/i5c3yxYbP9yAbqKMBu4I""},{""__ref__"":""pagos/xQeVLmy1DVabVH4BzcZI""}]","[{""__ref__"":""productosSeleccionados/0z0FU1i4drNUhCxeLY4f""}]",13283
"[{""__ref__"":""pagos/X2MHWcjYsIO2pZNsROMo""},{""__ref__"":""pagos/GpCmairHwg4kwo0BovLW""}]","[{""__ref__"":""productosSeleccionados/0Ze3xgHUjQwpYSIMtdfS""},{""__ref__"":""productosSeleccionados/zORjeTOSQXu88hTmHA4I""}]",26476
"[{""__ref__"":""pagos/KCOZS6PQd5kkCqrkGdwo""}]","[{""__ref__"":""productosSeleccionados/0zKwZmIEtQcpc8EPr3Wy""}]",30317.76
"[{""__ref__"":""pagos/yQaZDECqV2K7eoSxUb0w""}]","[{""__ref__"":""productosSeleccionados/0zMYdKTT6Rnz8FCqxhp5""}]",4600
"[{""__ref__"":""pagos/GrScphSCsXlhWZKyeokP""},{""__ref__"":""pagos/4Ea68czBFsN4adgP4647""}]","[{""__ref__"":""productosSeleccionados/0ZP6Se5rqyLARoKhclqV""}]",20026.3
"[{""__ref__"":""pagos/c0TSIzhvlz04wCwrRJyH""}]","[{""__ref__"":""productosSeleccionados/0zZuaACSguQ2Cg2rcxeD""}]",7080
"[{""__ref__"":""pagos/UoXtigBALJBKfnW7Qif4""}]","[{""__ref__"":""productosSeleccionados/10cWPF0Rj7Ao7RqS51Py""}]",1877.74
"[{""__ref__"":""pagos/MlE8XE0Nlhx7qUC6X0bO""}]","[{""__ref__"":""productosSeleccionados/10pOZj9UOLmrmUj7mOEX""},{""__ref__"":""productosSeleccionados/WRMhGlv0EIIsBfCKnmEA""},{""__ref__"":""productosSeleccionados/DuR9pbnf4ocO5Viaa6Bx""},{""__ref__"":""productosSeleccionados/OgwkXROYlbBp8qeloN8z""}]",11237
"[{""__ref__"":""pagos/D6Ow4BnjPRfdOvG78yQQ""},{""__ref__"":""pagos/SeY0usKTboLoQpG4rFT3""}]","[{""__ref__"":""productosSeleccionados/111c5wLSmO4UF73ooiNK""}]",9655.074
"[{""__ref__"":""pagos/MYY2Cf0IMIvoTTj0miPM""}]","[{""__ref__"":""productosSeleccionados/11MIIoa7B8RWQc9btiNX""},{""__ref__"":""productosSeleccionados/srS3m35ON9vFKnYp2rVU""}]",8217
"[{""__ref__"":""pagos/7z0LLQM7ta7FzKktwORA""},{""__ref__"":""pagos/MCyM2Ut9MNAuub7EELDB""}]","[{""__ref__"":""productosSeleccionados/11NP2JbEDt3I6I8bNc1A""}]",9400
"[{""__ref__"":""pagos/khcGqwVFuHGZtCekTgO4""}]","[{""__ref__"":""productosSeleccionados/12B46Og2hcxsOKkW2OmF""},{""__ref__"":""productosSeleccionados/qEyrH4bPZZyXF14aLeKz""}]",815
"[{""__ref__"":""pagos/VpDMc8ZAUI4BZKak0Rsk""}]","[{""__ref__"":""productosSeleccionados/1369RTFqnX2ZkQtKPl8N""}]",480
"[{""__ref__"":""pagos/qD5PvP01qGhZtnLrcj64""}]","[{""__ref__"":""productosSeleccionados/13cjssQpRRkEvRu5c6ER""},{""__ref__"":""productosSeleccionados/VMPHeohEUvqMPHGLvJvg""}]",4025.7
"[{""__ref__"":""pagos/PZ93hjc3O7xy1QrQwfcu""}]","[{""__ref__"":""productosSeleccionados/13F8s98vCdhnqx6W9SbX""}]",988
"[{""__ref__"":""pagos/iGwIqvxBSlRz1jRtE9R5""}]","[{""__ref__"":""productosSeleccionados/15aubepCmV6L86xzp9yL""}]",12650
"[{""__ref__"":""pagos/om467Upqzr8kNxeFaUYJ""}]","[{""__ref__"":""productosSeleccionados/1642CBZKiFcocvRib42a""},{""__ref__"":""productosSeleccionados/RGzc3mYl3PYI7MeY6vqV""}]",7334.6175
"[{""__ref__"":""pagos/Y4S50LeonMZY615cFbhf""}]","[{""__ref__"":""productosSeleccionados/16KjQLtHhfR1R113Bwyf""}]",7280
"[{""__ref__"":""pagos/49hC9E6nO90cYA0DpuK9""}]","[{""__ref__"":""productosSeleccionados/16SPtveKzMpif2F4fS2Y""}]",98
"[{""__ref__"":""pagos/HLKh3CJJoyv54yXwpK0f""}]","[{""__ref__"":""productosSeleccionados/16wRGtqBNjpKq6cDwupF""}]",900
"[{""__ref__"":""pagos/YAmdFVj9YcvNgHDMQH4W""}]","[{""__ref__"":""productosSeleccionados/17R8mrf8M5dJTSchL5Bm""}]",875.5
"[{""__ref__"":""pagos/sNqNM8i3lObd1YmgJxUW""},{""__ref__"":""pagos/oazFtrBfkgdSNxkkHuFe""}]","[{""__ref__"":""productosSeleccionados/17ttLXQf6IpbCsr0GAaW""},{""__ref__"":""productosSeleccionados/FOcAJr9vXKln4thOPszj""}]",59731.73
"[{""__ref__"":""pagos/n7golFpd7WqvFxcIqfaj""}]","[{""__ref__"":""productosSeleccionados/17ZQK06UxoMGYbeLmfJf""}]",380
"[{""__ref__"":""pagos/hzrmXlfsd8jfFxDwp5o3""}]","[{""__ref__"":""productosSeleccionados/188Q1rAEH7mnpbcfOd4w""}]",1743
"[{""__ref__"":""pagos/EaEwgjFQpY4zQijvSYSA""}]","[{""__ref__"":""productosSeleccionados/18obVYw1Cw09dSuzLu2Z""}]",13946.581
"[{""__ref__"":""pagos/GhIZZSc83yc9FA4wBNH1""}]","[{""__ref__"":""productosSeleccionados/18s6JifFyjro14DfZyo7""},{""__ref__"":""productosSeleccionados/TVRswm3Z9tjm8gyAjuHe""}]",600
"[{""__ref__"":""pagos/8xxqL3FrovvZFTs3q1Ft""}]","[{""__ref__"":""productosSeleccionados/18wdgy0LrDZ9PJMiEhLM""},{""__ref__"":""productosSeleccionados/zXDl8Zp6m2V3Enxd7Uiq""}]",14756
"[{""__ref__"":""pagos/wqRPAduckQyF5TsCmURO""}]","[{""__ref__"":""productosSeleccionados/19hivNamVv3U4krnRMXV""}]",18480
"[{""__ref__"":""pagos/3gADkyxu8a4xoe20Jvhx""}]","[{""__ref__"":""productosSeleccionados/19VCSqT4ptrbGNlZSwsJ""}]",980
"[{""__ref__"":""pagos/0yhzsEbJJB7l8UzuBY8b""}]","[{""__ref__"":""productosSeleccionados/1AD0C1VQpUDAed8GtIuf""},{""__ref__"":""productosSeleccionados/XrJVXDxCc0Qb0nZWtskk""},{""__ref__"":""productosSeleccionados/trE4Zb2c05TrV3RKKZZ8""}]",369
"[{""__ref__"":""pagos/Y0RuXgrnDONIRdK43ruU""}]","[{""__ref__"":""productosSeleccionados/1AE9248CMUzZggweFr5s""},{""__ref__"":""productosSeleccionados/fuOcKgbWlOM9x9cVLSNW""}]",3727
"[{""__ref__"":""pagos/c8D2WjTdJ15LNmcQV7O6""}]","[{""__ref__"":""productosSeleccionados/1aQ7eJHIqE1JCKyOZkwE""}]",294
"[{""__ref__"":""pagos/ehAQ0i5UwPQtdlgYhXFl""}]","[{""__ref__"":""productosSeleccionados/1AQckPUXsUo2OXVfV3lf""}]",5637.6
"[{""__ref__"":""pagos/PAWzllZqSsfAFtYSfbFe""}]","[{""__ref__"":""productosSeleccionados/1atjeleLyQRtXdgDRRpV""}]",3762
"[{""__ref__"":""pagos/nF9X3K2rEN6vSFhzg3z9""}]","[{""__ref__"":""productosSeleccionados/1aWbaMLab6jjPb2MmMp5""},{""__ref__"":""productosSeleccionados/CypsIEM3WzocMuWuIcH7""},{""__ref__"":""productosSeleccionados/c2p6kkJle1kf10IAmXpG""},{""__ref__"":""productosSeleccionados/ldnQ9GfXt39Om1XLo7xJ""},{""__ref__"":""productosSeleccionados/HBppJ3QBMPLbEANGzr2R""},{""__ref__"":""productosSeleccionados/sKhscZxGIYIMFYeSPWNs""},{""__ref__"":""productosSeleccionados/7fQKub7U3Nphco9aBjUC""},{""__ref__"":""productosSeleccionados/6rM2azoIWDdeXm61fp15""}]",5300
"[{""__ref__"":""pagos/Nr6ogMfejBV83YO3A5Ve""}]","[{""__ref__"":""productosSeleccionados/1bagu6Mq04oyrk5BwrEk""}]",665
"[{""__ref__"":""pagos/8yd7kZ7qF8adf1GjEULg""}]","[{""__ref__"":""productosSeleccionados/1BCrjiZSSEoZQ8BUnYWk""}]",12744
"[{""__ref__"":""pagos/EOUwp4WYDVMRKX4di9do""}]","[{""__ref__"":""productosSeleccionados/1BEoGMtprpbCevddHYCh""}]",13300
"[{""__ref__"":""pagos/fcDSNTvUO8OvuMCA5QjK""}]","[{""__ref__"":""productosSeleccionados/1BtBVBMyWfRyBZj6UGgk""},{""__ref__"":""productosSeleccionados/qYzoDrIicYYLD3MRpH4l""}]",5697.9
"[{""__ref__"":""pagos/ngHDydEcZDow99jGKiHG""},{""__ref__"":""pagos/ocUZPsYqA8j22nIzm7mu""}]","[{""__ref__"":""productosSeleccionados/1BVCSf8FiLI54C16Ua5O""}]",30706
"[{""__ref__"":""pagos/e707zaotIrYkwLFZv9FH""}]","[{""__ref__"":""productosSeleccionados/1C9hQTT7IR80Q07Ij9iZ""},{""__ref__"":""productosSeleccionados/gjsDlNFwUiAyjbu065i3""}]",5785
"[{""__ref__"":""pagos/47NTw6IzMcdrR9Gw9VrZ""}]","[{""__ref__"":""productosSeleccionados/1cDEOIEZWEZ5Z4mRaStM""}]",980
"[{""__ref__"":""pagos/nqHFntOmMObwpyyelNKy""}]","[{""__ref__"":""productosSeleccionados/1Cf6UiSAQHPf2bfezUUz""},{""__ref__"":""productosSeleccionados/maRxBdYCKA55lC3OFZCQ""},{""__ref__"":""productosSeleccionados/WIMdYFw4abD1OU6Way8Z""},{""__ref__"":""productosSeleccionados/iAnslVOauFI19LrEcLM5""},{""__ref__"":""productosSeleccionados/s3LV1WCqJR3o4DvStaZ3""},{""__ref__"":""productosSeleccionados/bWWYUwm52NsQx2lobMEe""},{""__ref__"":""productosSeleccionados/zHBJvaOEA3Ezqkq63d80""}]",58074.45
"[{""__ref__"":""pagos/OD8QMca9DkwVdqxHjJxi""}]","[{""__ref__"":""productosSeleccionados/1Ckky61xjS0lFKtCvKcP""}]",1416.45
"[{""__ref__"":""pagos/oBZr4CguHSjQQOLJx9g2""}]","[{""__ref__"":""productosSeleccionados/1CqZNI7wurfuBXcVJ8SL""}]",893
"[{""__ref__"":""pagos/yQo4OzdGpsEmJaLLbbfP""},{""__ref__"":""pagos/dxym6cE2qCNeaeqNVdgg""}]","[{""__ref__"":""productosSeleccionados/1CVSYaYATOuxuYGfED8n""},{""__ref__"":""productosSeleccionados/EthjrEnuf7qqiC7IurKk""},{""__ref__"":""productosSeleccionados/J0UqvRFyakPuAJ4OdsbX""}]",12275
"[{""__ref__"":""pagos/I7yfhSs02f0uZ9TdUM9C""}]","[{""__ref__"":""productosSeleccionados/1cyBA6J1VFMhNRBhb4ze""}]",1080
"[{""__ref__"":""pagos/8NXW8zAFgmiBLHir9GWh""}]","[{""__ref__"":""productosSeleccionados/1DAgJhWkhSw9cDIRjHDW""},{""__ref__"":""productosSeleccionados/VQYBLg8XhPSphvwsGpBk""}]",250
"[{""__ref__"":""pagos/bzxchljcHbRF9I6LHBKS""}]","[{""__ref__"":""productosSeleccionados/1DWSi33DS0Zqdrob2f34""},{""__ref__"":""productosSeleccionados/zlXmIkSA4kQUbn44ckiw""},{""__ref__"":""productosSeleccionados/FPAWNTC9v3bHZocdzUTl""}]",77561.242
"[{""__ref__"":""pagos/wyRpYVlPyo2DYD7PUIF9""}]","[{""__ref__"":""productosSeleccionados/1DYgiymDSsud8BpSsxx4""}]",1288
"[{""__ref__"":""pagos/St2vbdv77v8zF8fDuROQ""}]","[{""__ref__"":""productosSeleccionados/1e3lxXV51ypMBfUb5uFz""},{""__ref__"":""productosSeleccionados/NDiByTmRsjY092AHMMbu""}]",620
"[{""__ref__"":""pagos/bfoEgZzYvhhPQJUOYjeL""}]","[{""__ref__"":""productosSeleccionados/1e6aNxprP2AXwd5g4wmJ""}]",960
"[{""__ref__"":""pagos/5ACZ6J0uTC7Dddhrqx9z""}]","[{""__ref__"":""productosSeleccionados/1eAHwSte2uJY9KHsnx15""}]",720
"[{""__ref__"":""pagos/fTaQVhGLg1tQwWFv2jpv""}]","[{""__ref__"":""productosSeleccionados/1eNSWMTOrbtbJOH2dvt8""},{""__ref__"":""productosSeleccionados/VoKMGIJszgDjC30PGCb8""}]",9170
"[{""__ref__"":""pagos/GKBbhu6zDTO5BGGGGZvc""}]","[{""__ref__"":""productosSeleccionados/1ErrP0MwSgxwCqsVdKAj""}]",10688.64
"[{""__ref__"":""pagos/eFa3l6MZWoGGWofCUqDa""}]","[{""__ref__"":""productosSeleccionados/1EVzKF7mhBzbR2a9R2UT""}]",365
"[{""__ref__"":""pagos/Oif8YLe97IPkomGn5ayi""},{""__ref__"":""pagos/iqZwbbgMH0qXQyOn0MF8""}]","[{""__ref__"":""productosSeleccionados/1f66tq4zCpHLHPwRrSG2""},{""__ref__"":""productosSeleccionados/J29MVVtfreK5bkWBDp3a""}]",10317
"[{""__ref__"":""pagos/NYlJRbvldXnqsNR1UjLE""}]","[{""__ref__"":""productosSeleccionados/1FDh2MKpdMhte3CXCei3""}]",100
"[{""__ref__"":""pagos/gQ5ZebFw93fAVO4nT8tw""}]","[{""__ref__"":""productosSeleccionados/1Fdvj3lk4urJs8goW93s""}]",1200
"[{""__ref__"":""pagos/RFfkODAFkollGSBCk9LP""}]","[{""__ref__"":""productosSeleccionados/1fEVzAx7XI8bZnIproSn""}]",700
"[{""__ref__"":""pagos/2nuYq79CMKPoMtx3o50B""}]","[{""__ref__"":""productosSeleccionados/1fiS04lbLXF6TnsfYckM""}]",1505.7
"[{""__ref__"":""pagos/jnjzX5TdT30rEFbCRG06""}]","[{""__ref__"":""productosSeleccionados/1FJFUQptnVYgRAx6pYzs""},{""__ref__"":""productosSeleccionados/DR0TkImdfrxg3HFbvY5d""}]",18480
"[{""__ref__"":""pagos/zC31AYwTqd0SF2jJ0WJO""}]","[{""__ref__"":""productosSeleccionados/1flZBHVn6P5Yc2GNWQyq""}]",600
"[{""__ref__"":""pagos/4xf5yK5nT91AoFRJVS32""}]","[{""__ref__"":""productosSeleccionados/1fQWef2qhC0CuzMK2OIB""},{""__ref__"":""productosSeleccionados/7XSFtcm1tuhJoVaOX4xS""}]",14574.45
"[{""__ref__"":""pagos/1KRPLc5hmvcEmEhY7ES5""}]","[{""__ref__"":""productosSeleccionados/1Ft5e3f8YkGVOqCkANkS""}]",6552
